"id";"COMPOSIZIONE";"cl";"SEL";"ncol";"ccol";"nart";"Descrizione";"Collezione";"PRE";"PREC";"PRO";"PROC";"VEND";"VENDC";"LANC";"CONQ";"VA";"PIU";"DAOF";"FIL";"COL";"LF";"CQF";"VAS";"DAORDFINALE";"query per fronitore_PF";"MAGCF";"MAGC";"CLIENTE1";"ORDINE1";"CLIENTE2";"ORDINE2";"CLIENTE3";"ORDINE3";"CLIENTE4";"ORDINE4";"ORDTOT";"CARICA";"ORD";"ORM";"ORS";"RES";"OT";"SommaDiDAARR";"CARICAF";"ORDF";"ORMF";"ORSF";"RESF";"OTF";"DAARF";"clie";"Espr1";"cl2";"DAARFORN";"OTFORN";"CARICAFORN";"PV";"PPRO";"PPRE";"pv1";"ppre1"
"A5.FIL.259.N48DIF";"50%WP + 50%PA";"MILLEFILI";-1;8938377;"A5.FIL.259.N48";8938369;"Hair-plane nm9 GRS";"DIF";82,11;500,00;82,11;500,00;82,11;500,00;;;;0,00;-2,90;"A5.FIL.259";"N48";0,00;0,00;0,00;-8,70;0,00;0,00;;"MILLEFILI";255;;;;;;;255,00;;85,00;0,00;0,00;0,00;85,00;85,00;;255,00;0,00;0,00;0,00;255,00;255,00;"MILLEFILI";;"MILLEFILI";1063,65;3416,00;2431,92;;;;;
"A5.FIL.259.S36DIF";"50%WP + 50%PA";"MILLEFILI";-1;8955189;"A5.FIL.259.S36";8938369;"Hair-plane nm9 GRS";"DIF";82,11;500,00;82,11;500,00;82,11;500,00;;;;0,00;-2,90;"A5.FIL.259";"S36";0,00;0,00;0,00;-8,70;0,00;0,00;;"MILLEFILI";255;;;;;;;255,00;;85,00;0,00;0,00;0,00;85,00;85,00;;255,00;0,00;0,00;0,00;255,00;255,00;"MILLEFILI";;"MILLEFILI";1063,65;3416,00;2431,92;;;;;
"A5.FIL.275.E00DIF";"49%PC + 17%PA + 16%WM + 16%WO + 2%EA";"COFIL";-1;8946527;"A5.FIL.275.E00";8946525;"Peggy nm5500";"DIF";218,39;600,00;218,39;600,00;218,39;600,00;218,39;;5,83;0,21;-5,82;"A5.FIL.275";"E00";436,78;0,00;8,63;-11,85;1,04;0,00;;"COFIL";880;;;;;;;880,00;224,43;220,00;0,00;0,00;0,00;220,00;;446,45;880,00;0,00;0,00;0,00;880,00;440,00;"COFIL";;"COFIL";440,00;880,00;446,45;;;;;
"A5.FIL.275.E18DIF";"49%PC + 17%PA + 16%WM + 16%WO + 2%EA";"COFIL";-1;8946528;"A5.FIL.275.E18";8946525;"Peggy nm5500";"DIF";218,39;600,00;218,39;600,00;218,39;600,00;218,39;;2,80;0,83;-2,79;"A5.FIL.275";"E18";436,78;0,00;8,63;-11,85;1,04;0,00;;"COFIL";880;;;;;;;880,00;222,02;220,00;0,00;0,00;0,00;220,00;;446,45;880,00;0,00;0,00;0,00;880,00;440,00;"COFIL";;"COFIL";440,00;880,00;446,45;;;;;
"A5.FIL.275.N72DIF";"49%PC + 17%PA + 16%WM + 16%WO + 2%EA";"COFIL";-1;8946529;"A5.FIL.275.N72";8946525;"Peggy nm5500";"DIF";218,39;600,00;218,39;600,00;218,39;600,00;;;;0,00;-1,61;"A5.FIL.275";"N72";436,78;0,00;8,63;-11,85;1,04;0,00;;"COFIL";880;;;;;;;880,00;;220,00;0,00;0,00;0,00;220,00;220,00;446,45;880,00;0,00;0,00;0,00;880,00;440,00;"COFIL";;"COFIL";440,00;880,00;446,45;;;;;
"A5.FIL.275.U30DIF";"49%PC + 17%PA + 16%WM + 16%WO + 2%EA";"COFIL";-1;8955188;"A5.FIL.275.U30";8946525;"Peggy nm5500";"DIF";218,39;600,00;218,39;600,00;218,39;600,00;;;;0,00;-1,61;"A5.FIL.275";"U30";436,78;0,00;8,63;-11,85;1,04;0,00;;"COFIL";880;;;;;;;880,00;;220,00;0,00;0,00;0,00;220,00;220,00;446,45;880,00;0,00;0,00;0,00;880,00;440,00;"COFIL";;"COFIL";440,00;880,00;446,45;;;;;
"A5.FIL.277.MA0DIF";"40%WO + 25%PA + 25%VI + 10%WS";"NEWMILL";-1;8946628;"A5.FIL.277.MA0";8946614;"Green lynn nm14500 GRS";"DIF";284,75;500,00;284,75;500,00;284,75;500,00;;;;0,00;-5,25;"A5.FIL.277";"MA0";0,00;0,00;0,00;-10,50;0,00;0,00;;"NEWMILL";580;;;;;;;580,00;;290,00;0,00;0,00;0,00;290,00;290,00;;580,00;0,00;0,00;0,00;580,00;580,00;"NEWMILL";;"NEWMILL";2162,65;2839,00;696,00;;;;;
"A5.FIL.277.N98DIF";"40%WO + 25%PA + 25%VI + 10%WS";"NEWMILL";-1;8946631;"A5.FIL.277.N98";8946614;"Green lynn nm14500 GRS";"DIF";284,75;500,00;284,75;500,00;284,75;500,00;;;;0,00;-5,25;"A5.FIL.277";"N98";0,00;0,00;0,00;-10,50;0,00;0,00;;"NEWMILL";580;;;;;;;580,00;;290,00;0,00;0,00;0,00;290,00;290,00;;580,00;0,00;0,00;0,00;580,00;580,00;"NEWMILL";;"NEWMILL";2162,65;2839,00;696,00;;;;;
"A5.FIL.278.E14DIF";"70%VI + 15%MZ + 15%PL";"DOMASO";-1;8949838;"A5.FIL.278.E14";8949830;"Bach nm34000";"DIF";26,46;500,00;26,46;500,00;26,46;500,00;;;;0,00;-1,54;"A5.FIL.278";"E14";0,00;0,00;0,00;-3,79;0,00;0,00;;"DOMASO";62;;;;;;;62,00;;28,00;0,00;0,00;0,00;28,00;28,00;;62,00;0,00;0,00;0,00;62,00;62,00;"DOMASO";;"DOMASO";5741,20;8089,00;2443,08;;;;;
"A5.FIL.278.N10DIF";"70%VI + 15%MZ + 15%PL";"DOMASO";-1;8949861;"A5.FIL.278.N10";8949830;"Bach nm34000";"DIF";31,75;600,00;31,75;600,00;31,75;600,00;;;;0,00;-2,25;"A5.FIL.278";"N10";0,00;0,00;0,00;-3,79;0,00;0,00;;"DOMASO";62;;;;;;;62,00;;34,00;0,00;0,00;0,00;34,00;34,00;;62,00;0,00;0,00;0,00;62,00;62,00;"DOMASO";;"DOMASO";5741,20;8089,00;2443,08;;;;;
